City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
197,Svetlogorsk,BY,52.6333,29.7333,23.16,95,98,7.74,overcast clouds
198,Kambove,CD,-10.8764,26.5969,67.51,85,71,4.07,broken clouds
199,Alihe,CN,50.5667,123.7167,1.02,85,100,8.95,overcast clouds
200,Agirish,RU,61.9247,63.0231,-11.74,97,100,3.27,overcast clouds
201,Puerto Leguizamo,CO,-0.1934,-74.7819,73.53,90,100,2.46,overcast clouds
202,Natchitoches,US,31.7668,-93.1335,59.85,100,100,6.91,overcast clouds
203,San Quintin,MX,30.4833,-115.95,56.17,67,83,9.75,broken clouds
204,Vestmannaeyjar,IS,63.4427,-20.2734,31.05,66,10,3.56,clear sky
205,Kahului,US,20.8947,-156.47,75.85,86,20,13.8,light rain
206,Narsaq,GL,60.9167,-46.05,16.02,61,8,8.28,clear sky
207,Jalu,LY,29.0331,21.5482,66.04,35,0,6.13,clear sky
208,Mount Gambier,AU,-37.8333,140.7667,53.26,63,76,15.05,broken clouds
209,Flinders,AU,-34.5833,150.8552,79.05,53,2,5.99,clear sky
210,Oktyabrskoye,RU,43.0645,44.7417,28.54,100,100,4.47,fog
211,Saint-Joseph,RE,-21.3667,55.6167,82.78,78,39,10.63,light rain
212,Atuona,PF,-9.8,-139.0333,77.61,81,18,19.71,light rain
213,Nyagan,RU,62.1406,65.3936,-13.4,98,15,0.49,few clouds
214,Jaboticabal,BR,-21.2547,-48.3222,68.38,97,99,4.25,light rain
215,Severo-Kurilsk,RU,50.6789,156.125,25.74,69,100,7.94,overcast clouds
216,Nakusp,CA,50.2499,-117.8023,30.54,80,99,3.44,overcast clouds
217,Wairoa,NZ,-39.0333,177.3667,66.54,95,60,4.0,broken clouds
218,Saryg-Sep,RU,51.5,95.6,-3.42,77,100,1.77,overcast clouds
219,Langsa,ID,4.4683,97.9683,77.59,92,100,2.62,overcast clouds
220,Faanui,PF,-16.4833,-151.75,79.12,70,100,15.99,overcast clouds
221,Kavaratti,IN,10.5669,72.642,80.13,80,100,17.2,light rain
222,San Carlos,VE,9.6612,-68.5827,73.22,83,92,3.02,overcast clouds
223,Deming,US,32.2687,-107.7586,35.49,80,100,8.05,overcast clouds
224,Bonnyville,CA,54.2668,-110.735,4.8,99,47,3.58,scattered clouds
225,Saint Anthony,US,45.0205,-93.218,36.12,81,100,18.41,overcast clouds
226,Nambucca Heads,AU,-30.65,153.0,73.4,53,0,9.75,clear sky
227,Saldanha,ZA,-33.0117,17.9442,66.25,91,98,15.77,overcast clouds
228,Nanortalik,GL,60.1432,-45.2371,19.85,75,6,5.97,clear sky
229,Bengkulu,ID,-3.8004,102.2655,79.54,82,100,6.11,overcast clouds
230,Jieshi,CN,22.8134,115.8257,56.17,78,100,9.48,overcast clouds
231,Kabo,CF,7.6994,18.629,79.92,18,86,3.53,overcast clouds
232,Longyearbyen,SJ,78.2186,15.6401,3.04,55,75,18.41,broken clouds
233,Botwood,CA,49.1499,-55.3482,28.9,95,100,8.5,overcast clouds
234,Aquiraz,BR,-3.9014,-38.3911,80.19,77,72,7.72,broken clouds
235,Fairbanks,US,64.8378,-147.7164,8.94,79,0,0.0,clear sky
236,Carbonia,IT,39.1672,8.5222,63.25,94,100,17.4,overcast clouds
237,Lima,PE,-12.0432,-77.0282,68.9,79,0,8.05,clear sky
238,Tiksi,RU,71.6872,128.8694,-16.29,93,100,14.05,overcast clouds
239,Oranjemund,NA,-28.55,16.4333,70.83,72,0,4.18,clear sky
240,Luderitz,NA,-26.6481,15.1594,69.24,70,13,5.1,few clouds
241,Waipawa,NZ,-41.4122,175.5153,64.44,87,4,3.8,clear sky
242,Ashqelon,IL,31.6693,34.5715,68.79,61,97,9.75,overcast clouds
243,Kemijarvi,FI,66.7131,27.4306,9.81,85,100,9.89,overcast clouds
244,Nioro,GM,13.35,-15.75,67.48,19,0,6.31,clear sky
245,Lavrentiya,RU,65.5833,-171.0,-2.99,90,27,9.95,scattered clouds
246,Dawei,MM,14.0833,98.2,87.84,44,17,3.98,few clouds
247,Sandy Bay,AU,-42.913,147.3532,52.3,93,75,14.97,moderate rain
248,Kaitangata,NZ,-46.2817,169.8464,64.54,75,100,12.41,overcast clouds
249,Puerto El Triunfo,SV,13.2833,-88.55,74.71,81,68,3.02,broken clouds
250,Buriti Alegre,BR,-18.14,-49.0403,66.58,92,99,3.22,overcast clouds
251,Sola,VU,-13.8833,167.55,81.95,73,56,8.5,broken clouds
252,Turayf,SA,31.6725,38.6637,55.65,58,0,0.0,clear sky
253,Richards Bay,ZA,-28.783,32.0377,74.57,86,100,4.43,overcast clouds
254,Semme,FR,46.1963,1.5007,32.41,92,98,2.33,overcast clouds
255,Vestmanna,FO,62.1564,-7.1664,34.72,75,75,16.11,snow
256,Kenai,US,60.5544,-151.2583,17.15,92,0,6.91,mist
257,Ust-Nera,RU,64.5667,143.2,-53.21,98,74,4.25,broken clouds
