City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Faya,SA,2022-12-07 20:52:51,18.3851,42.4509,55.51,67,17,3.18
90,Dabola,GN,2022-12-07 20:55:38,10.75,-11.1167,78.44,32,0,1.88
91,Bethel,US,2022-12-07 20:50:44,41.3712,-73.414,58.05,88,100,4.18
92,Luklukan,PH,2022-12-07 20:55:39,14.3254,122.7124,76.35,81,100,8.79
93,Barrow,US,2022-12-07 20:53:17,71.2906,-156.7887,14.02,85,100,20.71
94,Cape Town,ZA,2022-12-07 20:53:18,-33.9258,18.4232,67.26,81,20,14.97
95,Aklavik,CA,2022-12-07 20:55:39,68.2191,-135.0107,-16.6,69,40,14.97
96,Porto Walter,BR,2022-12-07 20:55:40,-8.2686,-72.7439,75.83,97,100,2.55
97,Trincomalee,LK,2022-12-07 20:55:40,8.5711,81.2335,74.86,79,100,23.0
98,Meadow Lake,US,2022-12-07 20:55:41,34.8014,-106.5436,58.3,50,54,10.02
99,Zhigansk,RU,2022-12-07 20:52:34,66.7697,123.3711,-32.98,97,25,11.23
100,Cherskiy,RU,2022-12-07 20:55:41,68.75,161.3,-22.7,96,54,6.35
101,Aiquile,BO,2022-12-07 20:55:41,-18.2041,-65.1807,62.15,63,98,5.35
102,Pitimbu,BR,2022-12-07 20:55:42,-7.4706,-34.8086,82.99,75,37,11.79
103,Vostok,RU,2022-12-07 20:53:04,46.4856,135.8833,-2.58,99,100,4.12
104,Chapais,CA,2022-12-07 20:55:42,49.7834,-74.8492,28.18,90,84,7.9
105,Rawson,AR,2022-12-07 20:55:43,-43.3002,-65.1023,82.69,21,20,28.77
106,Oriximina,BR,2022-12-07 20:52:17,-1.7656,-55.8661,88.05,52,24,4.18
107,Kaeo,NZ,2022-12-07 20:55:43,-35.1,173.7833,59.77,93,100,20.04
108,Qaanaaq,GL,2022-12-07 20:55:44,77.484,-69.3632,13.19,71,75,9.73
109,Chimay,BE,2022-12-07 20:55:44,50.0486,4.3171,37.89,98,80,4.16
110,Constitucion,CL,2022-12-07 20:51:09,-35.3333,-72.4167,66.72,71,22,9.82
111,Beloha,MG,2022-12-07 20:55:44,-25.1667,45.05,76.51,77,0,3.83
112,Forbes,AU,2022-12-07 20:55:45,-33.3833,148.0167,50.34,50,0,14.63
113,Santa Fe,AR,2022-12-07 20:55:45,-31.6333,-60.7,104.02,30,21,10.0
114,Port Alfred,ZA,2022-12-07 20:55:46,-33.5906,26.891,67.17,94,26,3.0
115,Wenchi,GH,2022-12-07 20:55:46,7.7392,-2.1046,78.46,30,34,3.18
116,Tuktoyaktuk,CA,2022-12-07 20:55:46,69.4541,-133.0374,-11.2,70,75,11.5
117,Hithadhoo,MV,2022-12-07 20:55:47,-0.6,73.0833,81.54,77,100,13.69
118,Akdepe,TM,2022-12-07 20:55:47,42.0551,59.3788,10.49,46,0,7.25
119,Mahanoro,MG,2022-12-07 20:55:48,-19.9,48.8,74.23,89,81,3.06
120,Provideniya,RU,2022-12-07 20:55:48,64.3833,-173.3,19.51,73,100,13.42
121,Dingle,PH,2022-12-07 20:55:48,10.9995,122.6711,72.25,91,80,5.82
122,Bilibino,RU,2022-12-07 20:55:49,68.0546,166.4372,-28.71,100,71,4.07
123,Corrente,BR,2022-12-07 20:55:49,-3.7367,-43.3394,84.43,35,36,2.89
124,Kralendijk,BQ,2022-12-07 20:55:49,12.15,-68.2667,80.22,67,33,11.05
125,Xicotencatl,MX,2022-12-07 20:55:50,23.0167,-98.8833,85.53,44,84,11.32
126,Sobreira,PT,2022-12-07 20:55:50,41.5237,-7.8023,54.59,91,100,6.6
127,Ayan,RU,2022-12-07 20:55:51,56.45,138.1667,-5.19,72,63,6.93
128,San Javier,ES,2022-12-07 20:55:51,37.8063,-0.8374,59.13,86,20,3.44
129,Mana,GF,2022-12-07 20:55:51,5.6592,-53.7767,79.12,85,22,9.89
130,Nemuro,JP,2022-12-07 20:55:52,43.3236,145.575,32.16,58,66,4.65
131,Barcelona,ES,2022-12-07 20:55:52,41.3888,2.159,56.7,80,20,4.61
132,Bambous Virieux,MU,2022-12-07 20:51:57,-20.3428,57.7575,76.21,88,75,13.8
133,Lagoa,PT,2022-12-07 20:55:53,39.05,-27.9833,60.58,76,23,15.7
134,Yurginskoye,RU,2022-12-07 20:55:53,56.8189,67.3921,1.71,95,64,8.66
135,Cabo San Lucas,MX,2022-12-07 20:53:18,22.8909,-109.9124,85.6,71,37,1.01
136,Harnosand,SE,2022-12-07 20:56:54,62.6323,17.9379,16.0,71,48,2.17
137,Ola,RU,2022-12-07 20:56:54,59.5833,151.2833,2.68,94,100,9.06
138,Severomuysk,RU,2022-12-07 20:56:55,56.1481,113.4267,-9.69,98,100,5.66
